humanGene,EnsNum,x00511204,x7d9d7119,x93904035,a154c740,a6f657a3,bfe796aa,cbf61237,d578e27f,e1f960fc,e29ce54a
TCEA2,ENSG00000171703.15,2.77089766172,2.97409608014,142830.433879,1,23723.2775845,0,5.59518336875,7.62911098186,11.8144150026,13.51802903
POLD1,ENSG00000062822.11,0.840288755638,4.05499764382,82297.1591598,0,121791.132433,0,3.60721701253,6.54328826277,3.15779225108,9.60783077776
CUL3,ENSG00000036257.11,5.4291795484,4.23389053974,151411.035892,0,346805.179108,0,7.90255444104,8.41156447595,7.58212823356,8.2556509195
FANCF,ENSG00000183161.4,1.25185127628,4.77206572551,97172.560159,0,199658.291025,0,6.71269676189,8.13746637225,4.89318918579,8.76312916174
TOP3A,ENSG00000177302.13,2.6392744815,5.98715241055,127958.201765,0,303325.527006,0,7.83318306778,4.14886428497,10.6001718992,5.68370408896
PIAS4,ENSG00000105229.5,2.58110127593,5.11807900537,174512.491797,0,216603.678251,0,7.42622812371,9.86155790635,6.90565712831,17.702832569
TUBA1A,ENSG00000167552.12,42.606463624,31.6068771881,2585849.86401,6,2789622.03603,0,49.7168266156,103.470122586,8.95519533904,59.8888718045
SMC6,ENSG00000163029.14,2.44081597589,6.12976578195,69560.9459962,27,265898.544335,20,4.22942274215,2.57288244743,6.3835973289,4.80053249203
RECQL5,ENSG00000108469.13,1.55166351539,2.19875327028,60239.1184377,0,70626.8328988,0,5.95134954934,5.85661353075,3.84949598871,5.75882522245
UBR1,ENSG00000159459.10,3.92026510405,4.91711699298,104762.304625,578,99265.0612311,3,8.03509093484,4.20357796108,9.6368079239,3.75832801519
BCR,ENSG00000186716.18,7.52306695345,8.40089625528,220717.486308,2,170877.23591,1,6.54080150362,6.77755371797,5.42187907638,5.60177741387
GAPDH,ENSG00000111640.13,209.243405653,1048.77877704,11787748.5935,1,26942067.7763,0,474.290314316,698.635108879,848.050046918,539.18165984
TOP3B,ENSG00000100038.18,0.0258073835357,0.0746461804179,1886.01868697,0,2279.46226712,0,0.0772415447973,0.0646463333863,0.0563825655111,0.105292661958
CCNT2,ENSG00000082258.11,3.14494866237,3.8368467885,116519.792145,0,106715.421798,0,8.68072277106,3.43541289153,4.469404254,5.56548096179
REV1,ENSG00000135945.8,4.26165789885,3.82241023523,137422.483015,2,103534.788308,0,5.20361438107,3.04621715002,4.14195597654,4.55525125147
RAD51C,ENSG00000108384.13,2.0900833422,3.41173897577,46566.4354417,2,158604.449973,0,3.9251864815,3.9767886778,2.47388009144,2.0838406294
BLM,ENSG00000197299.9,0.185511900427,2.86471422686,11012.7138723,0,120904.622722,0,1.00947016227,1.16050620457,3.13844821756,1.46766414454
HIST1H2AC,ENSG00000180573.9,12.5261469629,19.9193027706,358330.570013,0,1134435.6202,0,105.183788772,36.9131371069,28.7949677009,36.7976531289
ACTR8,ENSG00000113812.12,5.11945647508,8.28182744065,96725.6697359,0,68718.6124267,0,7.6786296044,8.22697861365,5.27143623075,6.29140271726
